yield [thousands of bushels],price [$/bushel]
212.74,4.138
246.99,9.892
212.48,5.992
250.84,12.899
254.08,6.977
265.75,6.385
256.32,4.285
220.32,9.302
251.42,7.112
244.37,10.088
250.98,10.757
275.07,5.419
225.68,3.911
250.48,6.267
250.81,8.066
255.56,3.716
222.18,7.507
259.13,12.019
252.07,9.492
253.93,5.173
244.26,8.946
246.32,8.927
256.12,8.943
256.8,5.733
241.82,5.766
258.34,4.248
264.84,10.825
258.43,6.299
271.46,12.406
232.36,6.864
259.8,5.911
257.04,8.185
230.06,9.262
264.17,1.137
225.32,10.273
263.71,3.93
246.72,3.985
231.59,2.953
246.02,1.933
210.52,7.204
242.17,6.907
271.88,4.151
221.38,7.51
239.87,9.965
247.86,6.488
254.05,3.47
253.63,2.872
243.37,6.021
251.56,2.275
258.08,5.832
226.66,9.275
267.78,10.527
260.74,5.763
232.28,10.342
227.45,11.296
238.27,0.803
260.9,1.802
226.16,6.221
234.95,3.481
246.56,9.381
257.26,7.909
252.64,1.24
225.69,12.391
265.02,0.487
237.27,6.333
246.41,7.33
260.87,8.664
229.75,5.503
253.08,1.638
226.4,7.551
236.55,6.486
244.98,5.22
243.87,5.513
259.19,6.59
251.28,2.638
234.79,7.21
225.52,4.709
226.99,3.625
243.95,2.844
256.46,6.93
257.17,11.131
247.88,5.183
219.37,1.425
220.54,4.704
236.82,2.844
243.15,8.238
232.76,10.768
243.41,2.449
245.08,10.515
241.88,5.8
222.97,4.746
272.12,8.271
254.4,12.326
248.06,9.746
235.79,6.986
213.16,12.116
252.78,6.443
254.07,0.79
257.37,2.67
255.17,12.927
226.95,7.225
277.88,10.206
231.2,8.783
267.25,10.605
255.51,4.32
228.06,9.535
270.69,7.316
236.45,4.624
248.95,7.576
270.8,3.853
236.06,5.576
257.08,5.385
232.11,9.953
242.68,6.662
248.97,4.556
244.36,8.417
214.37,5.364
243.71,4.588
247.5,10.132
226.22,5.206
258.03,9.25
263.15,5.042
245.1,8.483
233.19,6.471
248.55,11.563
251.25,2.017
240.6,5.809
271.31,6.688
247.21,9.591
269.9,2.942
244.14,8.341
258.07,7.634
242.75,8.822
240.91,7.961
258.37,8.129
255.77,6.319
254.0,3.688
219.13,1.414
244.77,1.232
255.47,7.695
258.71,0.807
229.03,10.524
234.98,7.113
231.7,13.511
241.78,9.822
253.96,5.706
261.94,7.222
252.48,7.534
253.06,6.378
264.85,0.687
263.2,8.378
230.41,7.857
252.22,6.111
253.53,5.414
262.32,6.543
243.23,8.598
257.54,12.2
242.79,6.336
249.04,7.297
268.26,5.172
227.63,1.824
228.61,4.275
233.13,8.618
249.63,6.599
266.72,7.751
243.26,4.0
263.87,4.36
247.73,2.305
252.85,3.719
260.67,9.523
261.73,5.05
208.66,8.468
220.76,2.65
221.33,2.728
241.44,10.659
247.94,5.547
213.35,3.506
209.73,5.062
231.27,7.473
244.67,7.329
241.54,11.149
240.48,4.724
240.3,5.357
255.3,9.325
247.82,4.059
240.18,10.565
238.1,8.92
249.11,10.123
254.94,7.438
206.09,8.327
239.7,3.52
255.88,7.021
242.61,9.217
227.15,4.733
263.5,5.287
234.48,4.729
257.95,7.774
240.73,5.149
236.56,8.884
254.99,4.242
233.32,4.794
217.27,4.975
271.08,5.221
254.96,7.122
231.03,3.327
256.25,4.633
258.97,3.307
243.74,10.887
258.28,8.363
236.33,6.65
258.69,12.047
261.77,6.446
224.87,0.753
257.03,4.083
252.94,3.686
262.57,4.268
263.85,1.225
239.17,5.907
261.1,5.351
