"yield [thousands of bushels],""price [$/bushel]"""
214.09,4.749
248.23,5.217
212.46,4.904
249.63,4.193
255.92,8.064
264.77,3.944
256.43,3.507
220.12,6.764
251.84,6.241
245.19,4.616
249.58,6.19
273.09,5.814
224.43,6.489
247.7,6.536
250.54,4.253
256.79,5.626
222.67,5.445
258.97,6.841
252.92,10.401
253.89,7.282
245.14,6.549
244.72,7.86
256.85,8.737
255.35,3.38
243.41,3.255
259.35,7.169
264.69,5.366
259.49,10.349
269.77,3.641
233.14,6.522
261.77,8.852
258.48,2.833
228.68,4.379
264.67,5.046
227.57,10.876
262.58,7.149
246.66,5.553
231.74,3.846
248.45,4.285
209.78,10.178
240.97,2.243
271.0,5.11
219.83,7.729
240.82,6.702
247.05,5.11
252.84,4.115
251.73,7.886
244.13,5.841
252.35,4.415
258.58,5.263
226.21,6.245
268.51,7.942
260.41,1.326
233.09,8.847
227.62,5.868
237.79,3.094
258.85,5.935
226.25,11.453
236.4,7.315
245.96,9.16
256.05,7.258
253.99,6.004
225.02,8.046
266.91,8.405
237.6,7.957
247.72,8.503
261.73,6.166
230.42,5.445
252.79,4.758
225.01,9.622
236.87,3.719
246.73,7.688
242.01,5.547
256.88,4.655
249.28,5.645
234.41,9.009
224.04,5.318
228.98,6.03
244.68,2.525
256.6,7.718
257.38,7.461
250.01,6.513
219.81,5.404
221.67,4.827
237.73,5.582
246.51,5.61
234.87,8.189
242.45,7.261
246.21,3.92
241.65,2.733
222.13,7.252
272.09,8.507
254.91,7.457
248.64,3.049
235.43,9.445
213.07,6.879
252.55,5.86
254.55,7.186
256.5,7.247
251.7,4.544
226.2,6.059
278.96,9.4
231.3,7.063
268.94,6.486
254.64,7.173
228.05,9.771
270.65,7.064
239.23,3.713
245.86,6.999
270.77,7.082
234.2,5.53
254.89,2.849
230.79,6.865
242.74,5.364
249.89,10.596
242.63,9.904
214.71,7.135
242.49,8.009
247.06,9.289
224.69,3.355
259.84,8.751
260.89,2.602
244.14,3.839
233.88,5.881
250.55,0.564
251.43,7.319
240.5,4.787
272.25,3.728
248.17,4.835
270.78,4.653
244.33,6.142
259.22,5.686
243.43,5.976
241.02,5.345
258.6,9.986
255.67,7.037
252.35,3.099
220.62,8.767
244.74,6.431
252.47,5.942
258.75,4.67
230.85,4.146
233.73,4.025
232.81,10.281
240.35,4.772
252.53,6.869
260.36,6.764
253.28,5.632
252.8,6.609
266.27,7.786
260.75,7.435
230.3,4.551
252.79,5.868
255.45,4.819
263.93,5.74
241.52,7.721
257.27,8.907
243.61,8.518
248.38,4.689
268.6,5.381
228.19,8.613
230.17,6.954
235.18,9.483
250.18,4.429
265.47,11.712
244.15,7.501
266.26,7.591
247.62,5.338
250.97,6.211
261.68,4.135
262.3,7.02
209.07,7.514
220.05,2.667
221.23,3.862
241.08,9.526
247.23,6.597
212.92,2.547
210.21,9.289
229.73,3.997
243.95,9.042
240.83,4.71
240.26,6.194
239.56,6.952
255.55,10.072
247.4,8.444
240.27,7.572
238.32,8.244
248.68,6.936
255.0,6.379
203.97,4.378
239.48,10.591
254.98,8.116
243.75,3.491
226.16,7.199
263.81,3.497
232.24,3.949
258.1,4.833
239.26,5.397
236.75,7.676
254.63,7.037
233.1,4.212
216.14,7.431
270.28,7.184
254.89,8.336
232.49,7.034
255.9,4.693
256.27,4.952
243.93,6.341
258.06,7.083
237.13,5.788
259.18,4.481
261.5,7.347
221.85,8.238
255.87,9.023
252.93,8.285
264.25,5.06
263.06,7.828
238.57,6.358
262.55,2.989
253.38,2.424
260.3,4.86
251.39,5.771
242.21,6.45
263.94,7.431
245.51,7.639
245.12,5.571
254.49,8.561
257.89,9.3
257.56,7.932
222.42,5.691
205.87,5.21
235.37,4.316
234.55,3.023
254.3,7.832
250.43,5.228
241.81,4.099
270.96,7.995
261.61,4.509
249.93,8.027
256.43,6.57
239.79,9.443
230.8,8.899
243.85,8.851
234.44,10.985
253.52,4.807
261.98,6.76
249.34,3.643
246.46,5.205
253.97,10.214
246.13,6.852
232.96,7.983
257.75,6.517
241.69,9.035
268.0,8.338
242.26,9.635
244.41,7.765
258.72,4.624
242.34,8.209
253.8,7.676
255.91,5.452
233.94,5.76
229.59,3.414
252.43,4.951
245.76,6.287
240.28,6.0
220.46,5.429
263.5,5.825
269.54,8.817
255.38,7.062
250.36,8.979
252.73,5.781
230.26,2.215
200.84,7.274
224.82,11.105
250.64,4.368
258.99,6.271
241.57,5.85
220.09,6.271
241.18,6.809
278.29,4.092
249.08,2.633
246.65,6.507
265.45,7.215
232.09,7.504
263.03,5.328
