,0
0,1226297.2379
1,1371137.0379000003
2,1206243.1679
3,1418578.8179
4,1775005.8079
5,1488816.2079
6,1471423.6379000002
7,1254594.6079000002
8,1405415.3679
9,1380203.5679000001
10,1388017.1279000002
11,1510410.3879
12,1244128.1979
13,1401998.1278999997
14,1419912.8478999997
15,1412241.2679000003
16,1225312.0779
17,1531464.6979000003
18,2341887.8479
19,1582691.3079
20,1387464.7878999999
21,1638084.1279
22,1955365.3779000004
23,1472277.9279
24,1437981.9779
25,1598715.3779000002
26,1455115.0679
27,2396728.9379000003
28,1515241.5979
29,1304634.0079000003
30,2028454.9679000003
31,1501138.0679000001
32,1318976.5479
33,1459081.3479000002
34,2186318.2478999994
35,1617605.6479
36,1354668.8078999997
37,1364441.5679000004
38,1409633.6779
39,1846407.7678999999
40,1481580.9378999998
41,1490612.9279000002
42,1416755.6979
43,1384390.5679000001
44,1368228.4279
45,1435085.0278999999
46,1699111.5078999999
47,1342183.5579000001
48,1421203.6779
49,1424267.2678999996
50,1245623.3779
51,1845147.9479000005
52,1554061.1879
53,1773414.1579
54,1245449.4878999996
55,1428400.5879
56,1430057.1779
57,2302508.1779
58,1461503.4279
59,1964260.5279000003
60,1593458.4279
61,1402482.8879
62,1521777.8479
63,1954645.4779
64,1602869.2278999998
65,1817630.0878999997
66,1461384.1079000002
67,1267510.8279
68,1409731.5478999994
69,1876313.1479
70,1391160.3579
71,1615521.5678999997
72,1328827.4979
73,1432798.8279
74,1370191.0278999999
75,1823066.6179
76,1239548.4478999998
77,1253466.3279
78,1476586.4279000002
79,1698389.1279
80,1645351.8079000001
81,1413094.0578999997
82,1212100.5679
83,1256816.7179000005
84,1305052.3879000002
85,1354281.0279
86,1634617.3579
87,1495329.0779
88,1416712.1279
89,1458483.6779
90,1346230.0879
91,2025936.5579000001
92,1626100.6979
93,1463917.1879
94,1934903.2779000003
95,1222671.4578999998
96,1391627.9279000002
97,1567793.4279
98,1594445.3279000001
99,1413148.1279
100,1237897.7278999998
101,2333490.9278999995
102,1378332.9279
103,1532701.7679
104,1565770.7478999998
105,1939543.4779000005
106,1656483.3279
107,1400253.2179
108,1468617.0679
109,1661317.4678999998
110,1285581.9279
111,1490375.4379
112,1342400.2779
113,1337400.6879
114,2359101.3679
115,2114274.4479
116,1273067.2779
117,1653369.3379000002
118,2006207.2679000006
119,1370327.3779
120,1985126.7679
121,1515128.9079000002
122,1412466.2878999999
123,1282120.5079
124,1572495.5279000003
125,1572256.3979000002
126,1349765.1279000004
127,1522561.7278999998
128,1384382.3779
129,1497545.5678999994
130,1352671.7879000003
131,1427143.6479000002
132,1338733.4079
133,1328865.8279
134,2293646.5279
135,1545092.6179000002
136,1473251.4779
137,1645442.4679
138,1372454.8679000002
139,1392288.2679000006
140,1441006.4279
141,1342703.6279
142,1361682.6779
143,2104786.5379000003
144,1349820.3279000004
145,1492351.4978999998
146,1526777.9679000003
147,1392581.4879
148,1448238.1279
149,1789516.9478999998
150,1664997.6779
151,1315475.3279000001
152,1393147.0479
153,1420164.3778999997
154,1455287.1279
155,1582655.1479
156,2002770.8179000004
157,1786336.9079000002
158,1391751.6479
159,1475964.1279000002
160,1676667.3978999997
161,1351865.1079
162,1941478.8679000002
163,1411039.0479000001
164,2820451.5679000006
165,1554462.3779000002
166,1742139.8879
167,1364351.2878999996
168,1398006.5979
169,1470857.2279
170,1588126.9279
171,1293737.1079
172,1404192.9779000003
173,1322889.3879000004
174,2007795.0079000003
175,1409371.2379000003
176,1394654.8679000004
177,1663907.6179
178,1347323.4379000003
179,1917062.8279000001
180,1355277.2279
181,1330547.3679
182,1416836.0479000001
183,2285166.5278999996
184,1800312.5279000003
185,1540734.9679000003
186,1675977.0078999999
187,1477475.4079
188,1434796.9279
189,1210859.3879
190,2247599.6078999997
191,1780684.6079
192,1427725.2779000003
193,1366082.0679
194,1497586.1979000003
195,1360219.5879
196,1432461.5278999996
197,1317475.3479000004
198,1536238.7279000003
199,1537774.1379000002
200,1348151.3279000001
201,1332654.9679
202,1680387.2478999998
203,1836029.9679
204,1381425.3879
205,1426868.9278999998
206,1419377.1679000002
207,1361942.0579000001
208,1571514.0078999999
209,1301379.7678999999
