,yield [thousands of bushels],price [$/bushel],total
0,214.09,4.749,1016713.4099999999
1,248.23,5.217,1295015.91
2,212.46,4.904,1041903.84
3,249.63,4.193,1046698.59
4,255.92,8.064,2063738.88
5,264.77,3.944,1044252.88
6,256.43,3.507,899300.01
7,220.12,6.764,1488891.6800000002
8,251.84,6.241,1571733.44
9,245.19,4.616,1131797.04
10,249.58,6.19,1544900.2000000002
11,273.09,5.814,1587745.26
12,224.43,6.489,1456326.27
13,247.7,6.536,1618967.1999999997
14,250.54,4.253,1065546.62
15,256.79,5.626,1444700.5400000003
16,222.67,5.445,1212438.15
17,258.97,6.841,1771613.7700000003
18,252.92,10.401,2630620.92
19,253.89,7.282,1848826.9799999997
20,245.14,6.549,1605421.8599999999
21,244.72,7.86,1923499.2
22,256.85,8.737,2244098.45
23,255.35,3.38,863083.0
24,243.41,3.255,792299.5499999999
25,259.35,7.169,1859280.1500000001
26,264.69,5.366,1420326.5399999998
27,259.49,10.349,2685462.0100000002
28,269.77,3.641,982232.57
29,233.14,6.522,1520539.08
30,261.77,8.852,2317188.04
31,258.48,2.833,732273.8400000001
32,228.68,4.379,1001389.7199999999
33,264.67,5.046,1335524.82
34,227.57,10.876,2475051.3199999994
35,262.58,7.149,1877184.42
36,246.66,5.553,1369702.98
37,231.74,3.846,891272.04
38,248.45,4.285,1064608.25
39,209.78,10.178,2135140.84
40,240.97,2.243,540495.71
41,271.0,5.11,1384810.0000000002
42,219.83,7.729,1699066.07
43,240.82,6.702,1613975.64
44,247.05,5.11,1262425.5
45,252.84,4.115,1040436.6
46,251.73,7.886,1985142.7799999998
47,244.13,5.841,1425963.33
48,252.35,4.415,1114125.25
49,258.58,5.263,1360906.54
50,226.21,6.245,1412681.45
51,268.51,7.942,2132506.4200000004
52,260.41,1.326,345303.66000000003
53,233.09,8.847,2062147.23
54,227.62,5.868,1335674.16
55,237.79,3.094,735722.2599999999
56,258.85,5.935,1536274.75
57,226.25,11.453,2591241.25
58,236.4,7.315,1729266.0
59,245.96,9.16,2252993.6
60,256.05,7.258,1858410.9000000001
61,253.99,6.004,1524955.96
62,225.02,8.046,1810510.92
63,266.91,8.405,2243378.55
64,237.6,7.957,1890583.1999999997
65,247.72,8.503,2106363.1599999997
66,261.73,6.166,1613827.1800000002
67,230.42,5.445,1254636.9
68,252.79,4.758,1202774.8199999998
69,225.01,9.622,2165046.2199999997
70,236.87,3.719,880919.53
71,246.73,7.688,1896860.2399999998
72,242.01,5.547,1342429.4699999997
73,256.88,4.655,1195776.4
74,249.28,5.645,1407185.5999999999
75,234.41,9.009,2111799.69
76,224.04,5.318,1191444.72
77,228.98,6.03,1380749.4
78,244.68,2.525,617817.0
79,256.6,7.718,1980438.8
80,257.38,7.461,1920312.1800000002
81,250.01,6.513,1628315.13
82,219.81,5.404,1187853.24
83,221.67,4.827,1070001.09
84,237.73,5.582,1327008.8599999999
85,246.51,5.61,1382921.1
86,234.87,8.189,1923350.43
87,242.45,7.261,1760429.45
88,246.21,3.92,965143.2
89,241.65,2.733,660429.4500000001
90,222.13,7.252,1610886.7599999998
91,272.09,8.507,2314669.63
92,254.91,7.457,1900863.8699999999
93,248.64,3.049,758103.36
94,235.43,9.445,2223636.35
95,213.07,6.879,1465708.5299999998
96,252.55,5.86,1479943.0000000002
97,254.55,7.186,1829196.3
98,256.5,7.247,1858855.5
99,251.7,4.544,1143724.8
100,226.2,6.059,1370545.7999999998
101,278.96,9.4,2622223.9999999995
102,231.3,7.063,1633671.9000000001
103,268.94,6.486,1744344.84
104,254.64,7.173,1826532.72
105,228.05,9.771,2228276.5500000003
106,270.65,7.064,1911871.5999999999
107,239.23,3.713,888260.99
108,245.86,6.999,1720774.14
109,270.77,7.082,1917593.1399999997
110,234.2,5.53,1295126.0
111,254.89,2.849,726181.61
112,230.79,6.865,1584373.35
113,242.74,5.364,1302057.36
114,249.89,10.596,2647834.44
115,242.63,9.904,2403007.52
116,214.71,7.135,1531955.85
117,242.49,8.009,1942102.4100000001
118,247.06,9.289,2294940.3400000003
119,224.69,3.355,753834.95
120,259.84,8.751,2273859.84
121,260.89,2.602,678835.7799999999
122,244.14,3.839,937253.46
123,233.88,5.881,1375448.28
124,250.55,0.564,141310.19999999998
125,251.43,7.319,1840216.1700000002
126,240.5,4.787,1151273.5
127,272.25,3.728,1014948.0000000001
128,248.17,4.835,1199901.95
129,270.78,4.653,1259939.3399999996
130,244.33,6.142,1500674.86
131,259.22,5.686,1473924.9200000002
132,243.43,5.976,1454737.68
133,241.02,5.345,1288251.9
134,258.6,9.986,2582379.6
135,255.67,7.037,1799149.79
136,252.35,3.099,782032.65
137,220.62,8.767,1934175.54
138,244.74,6.431,1573922.9400000002
